dist;AntiMirror;BearT;LinT;Mo-LinT;Mo-LinT-f2.0;Mo-LinT-l10-f2.0;Mo-LinT-l15-f2.5;Mo-LinT-l2;Mo-LinT-l5;OccT;OccT-150.0;OccT-200.0;OccT-250.0;PatternT;StatBLinT-L18-f2.0;StatBLinT-L18-f2.5;StatBLinT-L18-f3.0;StatBLinT-L9-f2.6;StatBearingT;StatBearingT-CONTINOUS;StatBearingT-CONTINOUS-a2.0;StatBearingT-CONTINOUS-dirHEAD;StatBearingT-CONTINOUS-dirINV_HEAD;StatBearingT-a2.0;StatBearingT-dirHEAD;StatBearingT-dirINV_HEAD;StatDistanceT;StatDistanceT-f2.5
far;0,0;44,0;22,0;22,0;32,0;0,0;38,4;22,0;66,0;44,0;22,0;0,0;22,0;44,0;0,0;19,2;22,0;0,0;22,0;22,0;0,0;44,0;0,0;22,0;44,0;0,0;44,0;57,6
far;44,0;0,0;22,0;88,0;48,0;48,0;57,6;44,0;44,0;22,0;22,0;22,0;22,0;22,0;16,0;38,4;22,0;19,8;22,0;88,0;22,0;44,0;44,0;44,0;22,0;66,0;0,0;38,4
far;22,0;44,0;132,0;44,0;32,0;16,0;0,0;66,0;44,0;44,0;66,0;44,0;22,0;66,0;64,0;76,8;88,0;118,7;0,0;22,0;0,0;66,0;0,0;44,0;22,0;22,0;66,0;38,4
far;44,0;22,0;66,0;66,0;0,0;16,0;38,4;66,0;66,0;66,0;66,0;44,0;44,0;66,0;112,0;115,2;22,0;98,9;22,0;22,0;0,0;44,0;0,0;0,0;44,0;22,0;66,0;19,2
far;44,0;44,0;44,0;22,0;16,0;16,0;19,2;22,0;0,0;44,0;22,0;22,0;22,0;22,0;16,0;38,4;44,0;79,2;22,0;22,0;66,0;22,0;44,0;66,0;22,0;22,0;44,0;57,6
far;0,0;0,0;66,0;66,0;48,0;32,0;57,6;44,0;0,0;22,0;22,0;22,0;66,0;22,0;16,0;38,4;44,0;39,6;22,0;22,0;66,0;44,0;22,0;66,0;22,0;22,0;66,0;38,4
far;22,0;0,0;66,0;22,0;32,0;16,0;38,4;44,0;0,0;0,0;22,0;0,0;22,0;22,0;0,0;19,2;22,0;19,8;44,0;22,0;44,0;88,0;22,0;44,0;66,0;22,0;22,0;38,4
far;44,0;44,0;44,0;44,0;16,0;16,0;19,2;44,0;0,0;44,0;44,0;66,0;44,0;22,0;48,0;76,8;88,0;39,6;22,0;66,0;44,0;66,0;22,0;22,0;44,0;0,0;44,0;0,0
far;22,0;44,0;0,0;22,0;0,0;48,0;19,2;88,0;22,0;66,0;66,0;66,0;44,0;22,0;0,0;19,2;22,0;0,0;66,0;0,0;22,0;44,0;0,0;44,0;88,0;22,0;44,0;76,8
far;44,0;44,0;0,0;44,0;48,0;48,0;19,2;110,0;66,0;44,0;44,0;44,0;22,0;44,0;0,0;0,0;44,0;19,8;44,0;66,0;66,0;66,0;66,0;44,0;66,0;44,0;44,0;57,6
far;0,0;22,0;22,0;22,0;16,0;48,0;38,4;0,0;44,0;22,0;44,0;44,0;22,0;44,0;0,0;38,4;22,0;0,0;44,0;0,0;66,0;22,0;0,0;0,0;44,0;22,0;22,0;19,2
far;0,0;22,0;66,0;66,0;16,0;0,0;19,2;66,0;0,0;22,0;0,0;0,0;0,0;22,0;0,0;38,4;88,0;39,6;66,0;22,0;22,0;66,0;44,0;44,0;66,0;66,0;88,0;76,8
far;44,0;22,0;0,0;44,0;48,0;32,0;57,6;22,0;0,0;22,0;22,0;22,0;22,0;22,0;0,0;19,2;22,0;0,0;22,0;0,0;22,0;44,0;22,0;44,0;44,0;22,0;66,0;38,4
far;0,0;88,0;0,0;66,0;80,0;48,0;96,0;44,0;44,0;88,0;66,0;88,0;44,0;44,0;16,0;0,0;0,0;0,0;22,0;0,0;0,0;22,0;22,0;88,0;66,0;22,0;66,0;57,6
far;22,0;22,0;88,0;66,0;16,0;16,0;19,2;44,0;66,0;22,0;0,0;22,0;0,0;22,0;48,0;57,6;66,0;59,4;0,0;44,0;0,0;22,0;22,0;0,0;0,0;0,0;22,0;0,0
far;22,0;44,0;44,0;22,0;0,0;64,0;57,6;22,0;66,0;22,0;22,0;22,0;22,0;44,0;32,0;57,6;22,0;59,4;0,0;44,0;0,0;22,0;22,0;0,0;0,0;0,0;0,0;0,0
far;44,0;22,0;44,0;44,0;32,0;64,0;0,0;44,0;0,0;22,0;22,0;22,0;22,0;66,0;32,0;38,4;66,0;59,4;66,0;22,0;22,0;22,0;66,0;44,0;22,0;88,0;0,0;19,2
far;22,0;22,0;66,0;22,0;0,0;0,0;0,0;22,0;22,0;22,0;22,0;22,0;22,0;22,0;32,0;96,0;44,0;98,9;0,0;22,0;22,0;22,0;0,0;0,0;0,0;0,0;0,0;19,2
far;44,0;44,0;66,0;44,0;32,0;32,0;38,4;44,0;44,0;22,0;0,0;66,0;66,0;22,0;32,0;57,6;44,0;59,4;22,0;44,0;44,0;44,0;22,0;66,0;44,0;0,0;110,0;96,0
